scenario_id,drop_id,target_id,mpc_id,PathDelay,PathAOD,PathZOD,PathAOA,PathZOA,PathRSS
uma_trp1_h38901_isac_1_target,1,1,1,2.14289269697022e-06,-152.802424300375,94.5260315039341,-152.802424300375,94.5260315039341,-104.995082339518
uma_trp1_h38901_isac_1_target,2,2,1,8.81711288235901e-07,-169.743182200053,137.943450304892,-169.743182200053,137.943450304892,-93.0238371081369
uma_trp1_h38901_isac_1_target,3,3,1,1.98410808849704e-06,-135.61638614337,122.804998892814,-135.61638614337,122.804998892814,-109.594058917227
uma_trp1_h38901_isac_1_target,4,4,1,1.32936717447341e-06,-116.908843697051,117.367670748435,-116.908843697051,117.367670748435,-105.892221745603
uma_trp1_h38901_isac_1_target,5,5,1,2.04250910334305e-06,-156.572556160596,104.921782762613,-156.572556160596,104.921782762613,-100.281670001385
uma_trp1_h38901_isac_1_target,5,5,2,2.07809920274947e-06,62.2596146914397,139.12055801924,-156.572556160596,104.921782762613,-139.041228457137
uma_trp1_h38901_isac_1_target,6,6,1,1.17678731902189e-06,-130.628548031903,95.075830928365,-130.628548031903,95.075830928365,-98.0830806391837
uma_trp1_h38901_isac_1_target,7,7,1,1.57337812505917e-06,-148.131944907096,105.078506633435,-148.131944907096,105.078506633435,-99.3000368894031
uma_trp1_h38901_isac_1_target,8,8,1,1.21916900139579e-06,-99.7238343784966,143.125081540921,-99.7238343784966,143.125081540921,-120.776515541997
uma_trp1_h38901_isac_1_target,9,9,1,1.18823734726481e-06,161.530660653021,166.651965241282,161.530660653021,166.651965241282,-150.921259104315
uma_trp1_h38901_isac_1_target,10,10,1,1.62575451618243e-06,166.759845995656,129.118711918542,166.759845995656,129.118711918542,-115.496488785556
uma_trp1_h38901_isac_1_target,11,11,1,1.37362436443092e-06,-178.621251599136,122.111486957072,-178.621251599136,122.111486957072,-103.399094374334
uma_trp1_h38901_isac_1_target,12,12,1,1.18126427529989e-06,-96.4599872253046,152.220086302051,-96.4599872253046,152.220086302051,-130.515000862397
uma_trp1_h38901_isac_1_target,13,13,1,6.83938715632198e-07,-149.661254017748,91.5686002686595,-149.661254017748,91.5686002686595,-73.7754087592851
uma_trp1_h38901_isac_1_target,14,14,1,1.026914561677e-06,-108.806452745057,107.365099926738,-108.806452745057,107.365099926738,-100.071419164738
uma_trp1_h38901_isac_1_target,15,15,1,2.84993057431502e-07,-124.456361079517,102.588351344865,-124.456361079517,102.588351344865,-59.8147641500645
uma_trp1_h38901_isac_1_target,16,16,1,1.54160822273999e-06,-130.114341996543,129.020364905628,-130.114341996543,129.020364905628,-107.412637528676
uma_trp1_h38901_isac_1_target,16,16,2,1.7008537553801e-06,75.566869979006,148.106159743598,-130.114341996543,129.020364905628,-140.561745213075
uma_trp1_h38901_isac_1_target,17,17,1,1.52749727831579e-06,160.522615970914,124.135590797291,160.522615970914,124.135590797291,-115.672032879549
uma_trp1_h38901_isac_1_target,18,18,1,1.55821475753232e-06,-142.280495389109,128.696761311251,-142.280495389109,128.696761311251,-105.838037472072
uma_trp1_h38901_isac_1_target,19,19,1,9.07402977759772e-07,-152.458901022845,168.591018785509,-152.458901022845,168.591018785509,-135.233255203895
uma_trp1_h38901_isac_1_target,19,19,2,1.52098118261992e-06,9.96334389496275,170.279741679974,-152.458901022845,168.591018785509,-140.471852254703
uma_trp1_h38901_isac_1_target,20,20,1,1.71804920422217e-06,-172.796669518197,105.202436239974,-172.796669518197,105.202436239974,-101.575967188616
uma_trp1_h38901_isac_1_target,20,20,2,1.88376084606054e-06,53.8335919725096,125.188312556612,-172.796669518197,105.202436239974,-153.909847231452
uma_trp1_h38901_isac_1_target,21,21,1,5.6062389952486e-07,-149.868716848308,133.409040848669,-149.868716848308,133.409040848669,-79.5961585054357
uma_trp1_h38901_isac_1_target,21,21,2,7.06865865605564e-07,-54.1883917432731,159.338328564078,-149.868716848308,133.409040848669,-108.28788575582
uma_trp1_h38901_isac_1_target,22,22,1,6.66199784102161e-07,-152.82062085958,118.353170201442,-152.82062085958,118.353170201442,-79.3611220391731
uma_trp1_h38901_isac_1_target,22,22,2,7.28522993935298e-07,8.22506611304601,145.245710229764,-152.82062085958,118.353170201442,-107.666811996606
uma_trp1_h38901_isac_1_target,23,23,1,2.15531903086596e-06,-172.437399708333,120.735088059768,-172.437399708333,120.735088059768,-111.021034235108
uma_trp1_h38901_isac_1_target,23,23,2,2.76663177191334e-06,-168.839626318114,148.836883954534,-172.437399708333,120.735088059768,-160.162358094937
uma_trp1_h38901_isac_1_target,24,24,1,2.16500582096685e-06,-149.316657904021,117.751707744539,-149.316657904021,117.751707744539,-106.881795562212
uma_trp1_h38901_isac_1_target,25,25,1,2.02585291246045e-06,-121.065642405436,119.6097265689,-121.065642405436,119.6097265689,-114.752220805545
uma_trp1_h38901_isac_1_target,25,25,2,2.42276927768733e-06,-164.510597306446,165.561958320353,-121.065642405436,119.6097265689,-141.243356651767
uma_trp1_h38901_isac_1_target,26,26,1,1.19355029716045e-06,-173.464123160478,105.076792573523,-173.464123160478,105.076792573523,-95.8166602133206
uma_trp1_h38901_isac_1_target,27,27,1,1.20896935590899e-06,176.937342292596,123.84037375415,176.937342292596,123.84037375415,-101.647377669471
uma_trp1_h38901_isac_1_target,28,28,1,1.50922554204017e-06,-172.267141955269,102.652291900161,-172.267141955269,102.652291900161,-97.3179581198309
uma_trp1_h38901_isac_1_target,28,28,2,1.65791454256685e-06,19.2495796486508,126.424954434822,-172.267141955269,102.652291900161,-162.869014872411
uma_trp1_h38901_isac_1_target,29,29,1,1.77917966308835e-06,-119.277154587453,109.532575601241,-119.277154587453,109.532575601241,-111.840813736944
uma_trp1_h38901_isac_1_target,30,30,1,1.74652070966405e-06,-162.915858271254,123.572427892033,-162.915858271254,123.572427892033,-101.115896176783
uma_trp1_h38901_isac_1_target,31,31,1,1.67005657579377e-06,-140.217526652394,126.477079023313,-140.217526652394,126.477079023313,-108.293927590559
uma_trp1_h38901_isac_1_target,32,32,1,1.16128408334025e-06,-152.956075716197,117.288371140867,-152.956075716197,117.288371140867,-87.3600423336826
uma_trp1_h38901_isac_1_target,32,32,2,1.19512717927112e-06,102.976857569968,140.97945096643,-152.956075716197,117.288371140867,-129.705351791506
uma_trp1_h38901_isac_1_target,33,33,1,1.23031503953946e-06,-170.637323565948,97.0394651719419,-170.637323565948,97.0394651719419,-92.8026274132387
uma_trp1_h38901_isac_1_target,33,33,2,1.38851988000589e-06,-74.9919853649562,128.95247358734,-170.637323565948,97.0394651719419,-144.085643091213
uma_trp1_h38901_isac_1_target,34,34,1,1.77289018642729e-06,-141.085265825736,109.881731168305,-141.085265825736,109.881731168305,-103.675054871502
uma_trp1_h38901_isac_1_target,35,35,1,1.69931387390134e-06,-157.830359950376,91.548236326918,-157.830359950376,91.548236326918,-96.903659575544
uma_trp1_h38901_isac_1_target,36,36,1,1.98763559969269e-06,-114.699947866794,124.699657420048,-114.699947866794,124.699657420048,-115.849169704329
uma_trp1_h38901_isac_1_target,37,37,1,1.64883207792886e-06,170.997583569241,131.861818043167,170.997583569241,131.861818043167,-114.072723123135
uma_trp1_h38901_isac_1_target,38,38,1,1.60211140869867e-06,-123.994261010595,116.457098631234,-123.994261010595,116.457098631234,-107.574010241765
uma_trp1_h38901_isac_1_target,39,39,1,1.00200025693048e-06,170.233654269234,111.110764319459,170.233654269234,111.110764319459,-98.1337588081395
uma_trp1_h38901_isac_1_target,39,39,2,1.05430693482833e-06,35.5964363705891,131.578861519767,170.233654269234,111.110764319459,-147.446227810438
uma_trp1_h38901_isac_1_target,40,40,1,1.61327938336744e-06,-118.509897597178,112.508022355961,-118.509897597178,112.508022355961,-107.065235946339
uma_trp1_h38901_isac_1_target,40,40,2,1.73424293072764e-06,-10.4613410385735,138.088568322963,-118.509897597178,112.508022355961,-131.598331841834
uma_trp1_h38901_isac_1_target,41,41,1,1.42118481457125e-06,-155.767577943184,125.563619044633,-155.767577943184,125.563619044633,-97.5508619646557
uma_trp1_h38901_isac_1_target,41,41,2,1.46392408825944e-06,20.7545474522436,177.550871605437,-155.767577943184,125.563619044633,-147.899937775203
uma_trp1_h38901_isac_1_target,42,42,1,1.59011351639578e-06,-153.75676053186,114.655975323305,-153.75676053186,114.655975323305,-98.9123500989363
uma_trp1_h38901_isac_1_target,43,43,1,1.45326347069101e-06,-154.544294985708,135.115891004797,-154.544294985708,135.115891004797,-99.3017720497915
uma_trp1_h38901_isac_1_target,44,44,1,9.95905426229138e-07,151.099811090058,105.314916136616,151.099811090058,105.314916136616,-112.113617240798
uma_trp1_h38901_isac_1_target,45,45,1,1.43232806906032e-06,-122.948757282892,136.034619117079,-122.948757282892,136.034619117079,-106.938960962498
uma_trp1_h38901_isac_1_target,46,46,1,1.0906369193746e-06,-135.449944607602,98.8127122688114,-135.449944607602,98.8127122688114,-92.6073351446384
uma_trp1_h38901_isac_1_target,47,47,1,7.4276920146628e-07,-150.58447940879,142.79877143717,-150.58447940879,142.79877143717,-91.9163717456421
uma_trp1_h38901_isac_1_target,48,48,1,1.1178611830415e-06,156.146406905112,152.878900180503,156.146406905112,152.878900180503,-128.886764006133
uma_trp1_h38901_isac_1_target,48,48,2,1.23458219197578e-06,167.564392269544,154.193234698666,156.146406905112,152.878900180503,-161.253616072359
uma_trp1_h38901_isac_1_target,49,49,1,1.43653168272014e-06,-179.901322592192,122.519065372313,-179.901322592192,122.519065372313,-105.128788094258
uma_trp1_h38901_isac_1_target,49,49,2,1.57263183893726e-06,-76.27557726446,163.154233030249,-179.901322592192,122.519065372313,-150.327907502568
uma_trp1_h38901_isac_1_target,50,50,1,8.30695749283483e-07,175.685996231786,145.701610819251,175.685996231786,145.701610819251,-103.167069713133
uma_trp1_h38901_isac_1_target,51,51,1,1.48706892354435e-06,-155.81584952532,90.6995451973939,-155.81584952532,90.6995451973939,-91.9208454983663
uma_trp1_h38901_isac_1_target,52,52,1,8.23527052366311e-07,-131.840653365677,103.030313295132,-131.840653365677,103.030313295132,-84.2706999459864
uma_trp1_h38901_isac_1_target,53,53,1,7.07987795351317e-07,-157.886316626067,116.606795728053,-157.886316626067,116.606795728053,-78.7391775281221
uma_trp1_h38901_isac_1_target,53,53,2,7.55792013901913e-07,52.6047667922352,137.538893083642,-157.886316626067,116.606795728053,-105.387265176713
uma_trp1_h38901_isac_1_target,54,54,1,1.33381018595798e-06,-98.6632913066202,115.033354805735,-98.6632913066202,115.033354805735,-111.448820645365
uma_trp1_h38901_isac_1_target,55,55,1,1.42590126964285e-06,-138.102709194156,111.262356739126,-138.102709194156,111.262356739126,-105.390856499591
uma_trp1_h38901_isac_1_target,56,56,1,1.29724223620284e-06,-158.651654645001,118.128167596744,-158.651654645001,118.128167596744,-92.5319406313097
uma_trp1_h38901_isac_1_target,56,56,2,1.33986756720485e-06,1.91884897846995,174.734729674757,-158.651654645001,118.128167596744,-142.706869480653
uma_trp1_h38901_isac_1_target,57,57,1,1.21248590010577e-06,164.707190023528,123.316846549621,164.707190023528,123.316846549621,-108.177156261165
uma_trp1_h38901_isac_1_target,58,58,1,1.99799699156779e-06,-130.062969669885,124.90405230617,-130.062969669885,124.90405230617,-110.772826340764
uma_trp1_h38901_isac_1_target,59,59,1,1.74009626931525e-06,-109.557863878467,128.976514226221,-109.557863878467,128.976514226221,-115.390614288496
uma_trp1_h38901_isac_1_target,60,60,1,1.24446632903508e-06,-173.610136023766,117.46849496448,-173.610136023766,117.46849496448,-99.2532640024769
uma_trp1_h38901_isac_1_target,61,61,1,1.93796987900708e-06,-163.203073151432,90.0530759324059,-163.203073151432,90.0530759324059,-100.413291965069
uma_trp1_h38901_isac_1_target,62,62,1,1.04152249296709e-06,156.537318168791,135.335026811735,156.537318168791,135.335026811735,-112.845410493376
uma_trp1_h38901_isac_1_target,63,63,1,1.55708732628817e-06,-131.886828854853,121.981546471816,-131.886828854853,121.981546471816,-108.014955088889
uma_trp1_h38901_isac_1_target,64,64,1,1.65471186942957e-06,-133.198786774466,98.9098227016899,-133.198786774466,98.9098227016899,-105.104612342374
uma_trp1_h38901_isac_1_target,65,65,1,1.22932345758398e-06,-142.640205994005,93.9729900557924,-142.640205994005,93.9729900557924,-98.8755275445054
uma_trp1_h38901_isac_1_target,66,66,1,1.42986968742134e-06,-109.055283405726,89.5743817220017,-109.055283405726,89.5743817220017,-105.72573000374
uma_trp1_h38901_isac_1_target,67,67,1,1.54644710098107e-06,-161.247886640851,102.893719347983,-161.247886640851,102.893719347983,-92.8956754391535
uma_trp1_h38901_isac_1_target,68,68,1,1.36205020544755e-06,-178.267408719532,114.277825071721,-178.267408719532,114.277825071721,-102.004749324408
uma_trp1_h38901_isac_1_target,68,68,2,1.50451803683163e-06,-96.9295636130342,159.395462783485,-178.267408719532,114.277825071721,-153.995038725318
uma_trp1_h38901_isac_1_target,69,69,1,1.84466735683764e-06,179.461167291527,98.8002125314533,179.461167291527,98.8002125314533,-97.7365070584559
uma_trp1_h38901_isac_1_target,70,70,1,1.68927516575288e-06,-125.888118777329,97.5573316065012,-125.888118777329,97.5573316065012,-106.398939197081
uma_trp1_h38901_isac_1_target,71,71,1,6.82795917864074e-07,154.673150490552,136.913884506237,154.673150490552,136.913884506237,-103.378350895483
uma_trp1_h38901_isac_1_target,72,72,1,1.85446520449897e-06,-170.004604545709,90.0683342640871,-170.004604545709,90.0683342640871,-107.235997127391
uma_trp1_h38901_isac_1_target,73,73,1,9.2608298151726e-07,-99.270826167488,122.020645686238,-99.270826167488,122.020645686238,-105.091690583501
uma_trp1_h38901_isac_1_target,74,74,1,1.33980170251088e-06,164.798124458653,104.591446974418,164.798124458653,104.591446974418,-107.966143194791
uma_trp1_h38901_isac_1_target,75,75,1,1.50779681747234e-06,174.304697200488,130.428213181247,174.304697200488,130.428213181247,-108.382858524939
uma_trp1_h38901_isac_1_target,76,76,1,1.50220491469159e-06,-177.680867710448,94.8412905206797,-177.680867710448,94.8412905206797,-99.9406208739468
uma_trp1_h38901_isac_1_target,77,77,1,2.17399263008595e-06,-134.860002223498,122.403737617982,-134.860002223498,122.403737617982,-108.748679162254
uma_trp1_h38901_isac_1_target,78,78,1,2.0111675528762e-06,-119.984198834161,111.674385902939,-119.984198834161,111.674385902939,-113.971614821752
uma_trp1_h38901_isac_1_target,79,79,1,7.10894210784661e-07,-122.410858057574,109.315726130784,-122.410858057574,109.315726130784,-85.796612490644
uma_trp1_h38901_isac_1_target,80,80,1,1.82449270513661e-06,-158.833251720684,109.295282173987,-158.833251720684,109.295282173987,-100.88340283377
uma_trp1_h38901_isac_1_target,81,81,1,8.24528327626753e-07,-102.013332703619,157.313681987739,-102.013332703619,157.313681987739,-124.312058893297
uma_trp1_h38901_isac_1_target,82,82,1,2.06098032123904e-06,-144.850845284332,94.5607870339687,-144.850845284332,94.5607870339687,-105.991674494512
uma_trp1_h38901_isac_1_target,83,83,1,1.63503557096537e-06,-147.654291390752,121.696962409519,-147.654291390752,121.696962409519,-104.577891911283
uma_trp1_h38901_isac_1_target,84,84,1,1.67049722035749e-06,177.858531839899,96.8623572049205,177.858531839899,96.8623572049205,-98.9403248890192
uma_trp1_h38901_isac_1_target,85,85,1,1.58153854391419e-06,-112.695449898946,114.78779064223,-112.695449898946,114.78779064223,-108.522024381689
uma_trp1_h38901_isac_1_target,86,86,1,1.74869307092249e-06,-154.907372188635,116.320040232123,-154.907372188635,116.320040232123,-100.302834247456
uma_trp1_h38901_isac_1_target,87,87,1,4.23846024503031e-07,159.972542513877,155.184063864393,159.972542513877,155.184063864393,-111.893093709807
uma_trp1_h38901_isac_1_target,88,88,1,1.02967528165118e-06,-102.252452388819,116.77954810738,-102.252452388819,116.77954810738,-105.071626383358
uma_trp1_h38901_isac_1_target,89,89,1,1.25943153550316e-06,-113.157255311145,118.688399040862,-113.157255311145,118.688399040862,-104.386709646933
uma_trp1_h38901_isac_1_target,90,90,1,1.42145964429184e-06,-158.46017520576,89.428621750625,-158.46017520576,89.428621750625,-92.008386284263
uma_trp1_h38901_isac_1_target,91,91,1,3.46018007137714e-07,-177.390511476462,86.1475392224455,0,0,NaN
uma_trp1_h38901_isac_1_target,91,91,2,7.8111706513516e-07,-177.390511476462,86.1475392224455,-112.077975459841,80.5110584456503,-100.156724761313
uma_trp1_h38901_isac_1_target,91,91,3,8.18927484937316e-07,-177.390511476462,86.1475392224455,-69.0721566943502,79.448762408408,-80.0788791591614
uma_trp1_h38901_isac_1_target,91,91,4,3.86882130834682e-07,-177.390511476462,86.1475392224455,66.2150662187144,103.191272200775,-91.8135439799663
uma_trp1_h38901_isac_1_target,91,91,5,2.26574056821254e-06,-177.390511476462,86.1475392224455,-22.4246014987283,119.389309073457,-103.22320126265
uma_trp1_h38901_isac_1_target,91,91,6,1.09441012940489e-06,-177.390511476462,86.1475392224455,162.256916839605,86.4276123130827,-83.9212892196563
uma_trp1_h38901_isac_1_target,91,91,7,9.70163314416004e-07,-177.390511476462,86.1475392224455,-83.7129754598405,90.8346584456503,-87.962014127468
uma_trp1_h38901_isac_1_target,91,91,8,4.36020352625694e-07,-177.390511476462,86.1475392224455,-82.5556566943502,67.823162408408,-87.5368521511795
uma_trp1_h38901_isac_1_target,91,91,9,3.84724834244945e-07,-177.390511476462,86.1475392224455,70.1278757610329,66.1110900846992,-85.104427111918
uma_trp1_h38901_isac_1_target,91,91,10,3.72746207037483e-07,-177.390511476462,86.1475392224455,-65.1634119508288,69.0169101365922,-85.7236970564331
uma_trp1_h38901_isac_1_target,91,91,11,3.87251858435741e-07,-177.390511476462,86.1475392224455,92.8155232679646,92.1510922298701,-76.2912568595973
uma_trp1_h38901_isac_1_target,91,91,12,3.78884568009092e-07,-177.390511476462,86.1475392224455,-39.8142459623946,72.3975112290322,-90.7505792176109
uma_trp1_h38901_isac_1_target,91,91,13,5.736762262919e-07,-177.390511476462,86.1475392224455,17.0305329122157,80.2142310129493,-81.3131116285382
uma_trp1_h38901_isac_1_target,91,91,14,5.84234961905368e-07,-177.390511476462,86.1475392224455,-6.98386156554631,105.662162271845,-101.540502526147
uma_trp1_h38901_isac_1_target,91,91,15,4.33333443082704e-07,-177.390511476462,86.1475392224455,-159.844083160395,84.3703123130827,-78.6811551961233
uma_trp1_h38901_isac_1_target,91,91,16,1.24070788123667e-06,-177.390511476462,86.1475392224455,-96.5581457788178,107.518765991106,-98.86323988937
uma_trp1_h38901_isac_1_target,91,91,17,1.09941486448098e-06,-177.390511476462,86.1475392224455,-91.4049754598405,84.9567584456503,-91.9178815402023
uma_trp1_h38901_isac_1_target,91,91,18,5.78680961367986e-07,-177.390511476462,86.1475392224455,-67.4536566943502,70.422962408408,-89.8077838166806
uma_trp1_h38901_isac_1_target,91,91,19,1.10441959955707e-06,-177.390511476462,86.1475392224455,59.2618757610329,73.8348900846992,-94.6104568552474
uma_trp1_h38901_isac_1_target,91,91,20,5.83685696444072e-07,-177.390511476462,86.1475392224455,66.2850232679646,100.50069222987,-95.2232480597253
uma_trp1_h38901_isac_1_target,91,91,21,1.67291216074432e-06,-177.390511476462,86.1475392224455,72.1495329122157,72.1782310129493,-91.5090094828674
uma_trp1_h38901_isac_1_target,92,92,1,1.58670644374428e-06,-159.160625247928,103.455848109293,-159.160625247928,103.455848109293,-94.6631488935389
uma_trp1_h38901_isac_1_target,92,92,2,1.6744797021144e-06,14.123324715694,122.413158382746,-159.160625247928,103.455848109293,-120.980466681765
uma_trp1_h38901_isac_1_target,93,93,1,1.12709254272606e-06,-133.79016375257,118.075027975245,-133.79016375257,118.075027975245,-95.2807032591218
uma_trp1_h38901_isac_1_target,93,93,2,1.21128634687362e-06,138.158830698029,128.098620194101,-133.79016375257,118.075027975245,-120.884151968781
uma_trp1_h38901_isac_1_target,94,94,1,9.33836723373954e-07,175.377973567142,133.721378070688,175.377973567142,133.721378070688,-96.0775168781982
uma_trp1_h38901_isac_1_target,94,94,2,1.00525993689665e-06,32.0569561322565,146.955796918407,175.377973567142,133.721378070688,-128.810696976009
uma_trp1_h38901_isac_1_target,95,95,1,1.5615633090648e-06,157.33483015458,137.13409533211,157.33483015458,137.13409533211,-123.548307019188
uma_trp1_h38901_isac_1_target,96,96,1,1.9754905280583e-06,-179.98684533921,124.074190009334,-179.98684533921,124.074190009334,-110.637768462533
uma_trp1_h38901_isac_1_target,97,97,1,8.72853065574466e-07,-131.054660207939,125.351571394312,-131.054660207939,125.351571394312,-90.5303743413095
uma_trp1_h38901_isac_1_target,98,98,1,9.52077812359892e-07,-160.950183900661,98.5846237371117,-160.950183900661,98.5846237371117,-77.5916812336804
uma_trp1_h38901_isac_1_target,99,99,1,1.94147928318287e-06,-166.836789769828,113.894276306856,-166.836789769828,113.894276306856,-106.355698731594
uma_trp1_h38901_isac_1_target,100,100,1,1.68119876659196e-06,-131.676754980937,111.361779046507,-131.676754980937,111.361779046507,-108.308834406996
uma_trp1_h38901_isac_1_target,101,101,1,7.12439137578106e-07,155.062615547632,115.890500479716,155.062615547632,115.890500479716,-98.3054640495409
uma_trp1_h38901_isac_1_target,101,101,2,7.71155388293807e-07,-1.16208238696802,149.860415991872,155.062615547632,115.890500479716,-148.350489995997
uma_trp1_h38901_isac_1_target,102,102,1,1.17284936597886e-06,-165.394971111488,106.982450716537,-165.394971111488,106.982450716537,-90.1241591735541
uma_trp1_h38901_isac_1_target,103,103,1,3.68066302736878e-07,175.808023900422,101.158257825394,175.808023900422,101.158257825394,-71.1320889652634
uma_trp1_h38901_isac_1_target,104,104,1,1.16983157196535e-06,-104.557350715575,142.622119642947,-104.557350715575,142.622119642947,-117.428467426139
uma_trp1_h38901_isac_1_target,105,105,1,1.20928721581936e-06,-103.542835375636,99.3600333459253,-103.542835375636,99.3600333459253,-105.380196172668
uma_trp1_h38901_isac_1_target,105,105,2,1.28695405131985e-06,42.5042606278524,133.82194162702,-103.542835375636,99.3600333459253,-127.96676048727
uma_trp1_h38901_isac_1_target,106,106,1,1.97617740813453e-06,-149.106011151088,104.951149880441,-149.106011151088,104.951149880441,-102.598223585348
