bistatic_range_m,log_R,az_off_boresight,rx_elevation_deg,radial_velocity,abs_bistatic_doppler_hz,speed,abs_frac_u,abs_frac_v,n_mpc,rss_max,rss_total_db,k_factor_db,dom_excess_delay,rms_delay_spread,aoa_spread_w,zoa_spread_w,first_rss_minus_dom,n_targets,nn_norm_range_sep,nn_norm_ang_sep,detected
642.423068854951,5.772099891849621,-2.8024243003750016,4.52603150393411,16.2967109580192,435.010275919187,13.778280867527394,0.4403339016723804,0.4748152799106151,1,-104.995082339518,-104.99508233951799,60.0,0.0,0.0,-0.0,0.0,0.0,1,,,1
264.330394346587,4.884052633857926,-19.743182200053,47.9434503048922,-2.38566435347317,63.6808562984464,13.778280867527394,0.2410603959250528,0.24051052190139188,1,-93.0238371081369,-93.02383710813692,60.0,0.0,0.0,-0.0,0.0,0.0,1,,,1
594.82064078821,5.695112735488864,14.3836138566298,32.8049988928143,19.8058349586547,528.679790196237,13.778280867527394,0.31853373316806977,0.3370094480580974,1,-109.594058917227,-109.59405891722699,60.0,0.0,0.0,8.537736462515939e-7,0.0,0.0,1,,,1
398.534252819898,5.294646268355123,33.0911563029485,27.3676707484349,-3.69174033040411,98.5441162875165,13.778280867527394,0.4843323381603888,0.2896396784952806,1,-105.892221745603,-105.89222174560298,60.0,0.0,0.0,-0.0,0.0,0.0,1,,,1
612.328824578588,5.724122252724123,-6.572556160596001,14.9217827626128,-15.7592748881479,420.664423332989,13.778280867527394,0.4607523080643432,0.2400055141628865,2,-100.281670001385,-100.28109217206625,38.75955845575264,0.0,4.1048141176075515e-10,-0.0,1.4210854715202004e-14,0.0,1,,,1
352.791962912804,5.1727313624538045,19.3714519680968,5.07583092836505,-23.5870699274214,629.612798784027,13.778280867527394,0.42750757678326323,0.16882786913062064,1,-98.0830806391837,-98.08308063918372,60.0,0.0,0.0,8.537736462515939e-7,0.0,0.0,1,,,1
471.68689547492,5.463168227862314,1.8680550929043989,15.0785066334353,-14.6445376502143,390.908593785538,13.778280867527394,0.007219147904636403,0.3245540019290374,1,-99.3000368894031,-99.3000368894031,60.0,0.0,0.0,-0.0,0.0,0.0,1,,,1
365.497671645848,5.2081127282836,50.276165621503395,53.1250815409206,2.75523084415967,73.5457438514107,13.778280867527394,0.23090628776780164,0.4016825889526743,1,-120.776515541997,-120.77651554199699,60.0,0.0,0.0,-0.0,0.0,0.0,1,,,1
356.224595023916,5.182414236266509,-48.469339346979396,76.6519652412822,-5.62566033518375,150.166500525169,13.778280867527394,0.4695623538540099,0.13554128703833257,1,-150.921259104315,-150.92125910431497,60.0,0.0,0.0,-0.0,0.0,0.0,1,,,
487.388942510932,5.495915273691278,-43.2401540043441,39.1187119185422,-4.54914086781128,121.430823016964,13.778280867527394,0.007856819202640253,0.18973499487022494,1,-115.496488785556,-115.49648878555601,60.0,0.0,0.0,-0.0,0.0,0.0,1,,,1
